============================== SRIM-2012.03 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  N(1.02 MeV) ==> Layer 1(  1 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  124  7 .1006127E+07   1000590E-02  .2475E+02 -.3699E+01   .9998832  .0008757 -.0152579
T  125  7 .1012128E+07   1000592E-02 -.3020E+01  .8888E+01   .9999942  .0025253  .0022650
T  126  7 .1006556E+07   1000386E-02  .1183E+02  .3944E+01   .9999855  .0030661  .0044353
T  127  7 .1015710E+07   1000252E-02 -.2293E+02  .1142E+02   .9999850 -.0015099  .0052709
T  128  7 .1009982E+07   1000185E-02  .3011E+01  .1406E+02   .9999862  .0000075  .0052505
T  129  7 .1005972E+07   1000281E-02  .3230E+02  .2122E+02   .9992317  .0143928  .0364548
T  130  7 .1011667E+07   1000541E-02 -.1211E+02 -.1132E+02   .9999811 -.0022998 -.0057055
T  131  7 .1009583E+07   1000671E-02  .2400E+02 -.3530E+02   .9999552  .0037327 -.0086967
T  132  7 .1010681E+07   1000213E-02 -.5558E+01 -.2769E+01   .9999987  .0006498 -.0014688
T  133  7 .1011804E+07   1000335E-02 -.4432E+01 -.8888E+01   .9999840 -.0037598 -.0042320
T  134  7 .1013605E+07   1000614E-02 -.3531E+02  .8181E+00   .9997212 -.0038173  .0232996
T  135  7 .1007517E+07   1000073E-02  .1378E+02  .7110E+01   .9999893  .0034000  .0031379
T  136  7 .1008977E+07   1000493E-02 -.9448E+01 -.4439E+01   .9999865  .0044684 -.0026418
T  137  7 .1016245E+07   1000182E-02  .5021E+02 -.2355E+02   .9999602  .0079860 -.0039675
T  138  7 .1010180E+07   1000172E-02 -.2787E+02  .2508E+01   .9999670 -.0081194  .0000319
T  139  7 .1018936E+07   1000716E-02  .2589E+02  .6725E+01   .9996614  .0250053  .0072032
T  140  7 .1008248E+07   1000346E-02  .4090E+01 -.1974E+01   .9999976  .0021740  .0002873
T  141  7 .1009130E+07   1000243E-02 -.1658E+02 -.2945E+01   .9999919 -.0033005 -.0022884
T  142  7 .1016968E+07   1000450E-02  .1935E+02 -.8115E+01   .9999860  .0052857 -.0000902
T  143  7 .1002401E+07   1000594E-02  .2046E+02 -.1138E+02   .9999947  .0015280 -.0028810
T  144  7 .1010012E+07   1000195E-02  .2249E+02 -.1218E+02   .9999860  .0047530 -.0023227
T  145  7 .1012563E+07   1000020E-02  .8468E+02 -.2754E+02   .9998996  .0141019 -.0013864
T  146  7 .1012046E+07   1000776E-02  .9681E+01 -.1474E+02   .9999848  .0021780 -.0050629
T  147  7 .1007254E+07   1000307E-02  .1698E+01  .1229E+00   .9999973  .0023181 -.0001570
T  148  7 .1012732E+07   1000615E-02 -.1556E+02 -.5025E+01   .9999977 -.0020248  .0007745
T  149  7 .1010526E+07   1000341E-02 -.1071E+01 -.1070E+02   .9999947 -.0016784 -.0027880
T  150  7 .1005988E+07   1000719E-02  .1574E+02 -.2006E+01   .9999936  .0024240 -.0026299
T  151  7 .1007345E+07   1000472E-02  .4490E+01 -.3262E+01   .9999654  .0077443 -.0030276
T  152  7 .1011635E+07   1000494E-02 -.1335E+02 -.1697E+02   .9999970 -.0012671 -.0021101
T  153  7 .1008178E+07   1000709E-02  .8993E+01 -.2079E+02   .9999837  .0030330 -.0048408
T  154  7 .1018588E+07   1000717E-02  .1823E+02 -.5387E+00   .9999951  .0031024 -.0005115
T  155  7 .9917996E+06   1000704E-02 -.1609E+03  .1148E+03   .9938153 -.0921961  .0618956
T  156  7 .1008928E+07   1000390E-02 -.9827E+01  .8067E+01   .9999919 -.0031963  .0024461
T  157  7 .1008036E+07   1000287E-02 -.1811E+02 -.8841E+02   .9998580 -.0031400 -.0165571
T  158  7 .1014503E+07   1000429E-02 -.1199E+01 -.1198E+02   .9999980 -.0002219 -.0019706
T  159  7 .1007467E+07   1000631E-02 -.2236E+02 -.2042E+02   .9999511 -.0075946 -.0063346
T  160  7 .1017893E+07   1000314E-02 -.7548E+00  .5528E+01   .9999881 -.0048663 -.0003873
T  161  7 .1010545E+07   1000592E-02  .8956E+01 -.7607E+01   .9999547 -.0005181 -.0095065
T  162  7 .1013587E+07   1000301E-02 -.3931E+01 -.2322E+02   .9999694  .0009378 -.0077674
T  163  7 .1005472E+07   1000499E-02 -.1103E+01  .2686E+02   .9999832 -.0014357  .0056223
T  164  7 .1014753E+07   1000654E-02  .5689E+01 -.1694E+02   .9999840  .0000243 -.0056573
T  165  7 .1009223E+07   1000802E-02 -.6578E+02 -.5888E+01   .9999675 -.0074189 -.0031436
T  166  7 .1009163E+07   1000800E-02  .1421E+02 -.3974E+02   .9999330  .0075037 -.0088151
T  167  7 .1009535E+07   1000583E-02  .1097E+02 -.2351E+01   .9999972  .0022896 -.0006646
T  168  7 .1011834E+07   1000700E-02 -.4473E+01 -.6321E+01   .9999973 -.0005576 -.0022400
T  169  7 .1011314E+07   1000580E-02  .3128E+02 -.5047E+01   .9999843  .0055359 -.0008091
T  170  7 .1014443E+07   1000157E-02 -.4661E+01  .1636E+02   .9999966  .0012991  .0022483
T  171  7 .1003139E+07   1000477E-02 -.5615E+02  .2658E+02   .9998767 -.0156936  .0004768
T  172  7 .1006674E+07   1000752E-02  .2522E+02  .3030E+02   .9998225  .0143379  .0122200
T  173  7 .1015110E+07   1000574E-02 -.2679E+02  .3321E+01   .9998571 -.0166512 -.0029156
T  174  7 .1013138E+07   1000616E-02 -.5750E+02  .3228E+02   .9999055 -.0127102  .0052391
T  175  7 .1008419E+07   1000324E-02  .1464E+01  .1829E+01   .9999897  .0044774  .0006906
T  176  7 .1008646E+07   1000442E-02 -.1501E+03 -.1842E+03   .9952191 -.0555375 -.0803404
T  177  7 .1012205E+07   1000272E-02  .4333E+01  .5362E+01   .9999980  .0019457 -.0004825
T  178  7 .1007326E+07   1000780E-02 -.1271E+02  .2136E+02   .9999689 -.0023762  .0075245
T  179  7 .1010062E+07   1000789E-02 -.1506E+02  .4145E+01   .9999779 -.0062160 -.0023697
T  180  7 .1011675E+07   1000478E-02  .3579E+01  .3491E+02   .9999939  .0034638  .0003960
T  181  7 .1007524E+07   1000315E-02  .1248E+02  .3023E+02   .9999114  .0076067 -.0109281
T  182  7 .1016274E+07   1000086E-02  .5942E+02  .3148E+01   .9999674  .0075397  .0028959
T  183  7 .1011973E+07   1000439E-02  .1407E+02 -.7632E+00   .9999976  .0019971 -.0009439
T  184  7 .1008422E+07   1000600E-02 -.1790E+02 -.2013E+01   .9999938 -.0030442 -.0017974
T  185  7 .1015959E+07   1000043E-02 -.9134E+01  .1710E+02   .9999806 -.0039190  .0048462
T  186  7 .1013480E+07   1000302E-02 -.1619E+02 -.1063E+02   .9999942 -.0034024  .0001095
T  187  7 .1015077E+07   1000514E-02  .1670E+02 -.1612E+02   .9999951  .0006623 -.0030523
T  188  7 .1011499E+07   1000759E-02  .1543E+02  .7519E+01   .9999980  .0018608  .0007865
T  189  7 .1010681E+07   1000603E-02 -.2820E+02  .7286E+02   .9999473 -.0081218  .0062777
T  190  7 .1009617E+07   1000242E-02  .6875E+02 -.1945E+02   .9998993  .0126911 -.0063533
T  191  7 .1010355E+07   1000533E-02 -.3185E+01  .1117E+02   .9999973 -.0023370 -.0000520
T  192  7 .1009941E+07   1000005E-02  .5737E+01  .1218E+02   .9999906 -.0018432  .0039199
T  193  7 .1009594E+07   1000421E-02 -.5708E+00  .1987E+02   .9999888  .0030127  .0036583
T  194  7 .1014032E+07   1000366E-02  .1864E+02  .4371E+02   .9999053  .0094218  .0100310
T  195  7 .1012085E+07   1000717E-02  .9063E+01 -.1693E+02   .9999864  .0027229 -.0044503
T  196  7 .1009897E+07   1000801E-02  .7687E+01 -.1068E+02   .9999934 -.0033105  .0014740
T  197  7 .1012007E+07   1000270E-02 -.3734E+02 -.6327E+01   .9999796 -.0059830  .0022198
T  198  7 .1016062E+07   1000719E-02 -.7680E+01 -.9326E+01   .9999977 -.0020763 -.0005883
T  199  7 .1010304E+07   1000551E-02 -.2088E+02  .6973E+01   .9999666 -.0077058  .0027314
T  200  7 .1011699E+07   1000172E-02 -.1053E+02  .6261E+01   .9999864 -.0024252 -.0046228
T  201  7 .1006353E+07   1000748E-02  .5587E+01  .1342E+02   .9999624  .0036245  .0078829
T  202  7 .1010522E+07   1000304E-02 -.1267E+02  .2272E+02   .9999867 -.0043832  .0027026
T  203  7 .1007789E+07   1000450E-02 -.1077E+02 -.1211E+02   .9999928 -.0029499 -.0024018
T  204  7 .1000603E+07   1000184E-02  .2110E+03 -.1505E+03   .9979865  .0532952 -.0343874
T  205  7 .1008010E+07   1000154E-02 -.1024E+02  .1258E+02   .9999194 -.0056144  .0113905
T  206  7 .1004410E+07   1000681E-02 -.1105E+02  .4558E+02   .9995736 -.0150258  .0250355
T  207  7 .1009325E+07   1000213E-02  .4950E+01  .1994E+01   .9999960 -.0025247 -.0012909
T  208  7 .1010186E+07   1000402E-02 -.7745E+01  .8527E+02   .9998882 -.0021338  .0148022
T  209  7 .1009501E+07   1000286E-02 -.3441E+01  .1635E+02   .9999940 -.0007658  .0033864
T  210  7 .1010045E+07   1000764E-02  .1183E+02 -.6613E+00   .9999928  .0032978 -.0018649
T  211  7 .1014246E+07   1000502E-02  .2971E+02 -.1699E+02   .9999774  .0034065 -.0058021
T  212  7 .1002188E+07   1000606E-02 -.1618E+03 -.4677E+01   .9994615 -.0324418 -.0049217
T  213  7 .1011082E+07   1000278E-02  .1512E+02  .5333E+01   .9999859  .0053117  .0002278
T  214  7 .1007300E+07   1000552E-02  .1325E+02  .1113E+02   .9999681  .0070335  .0037817
T  215  7 .1012739E+07   1000188E-02 -.4450E+02  .3131E+02   .9999473 -.0061184  .0082475
T  216  7 .1008931E+07   1000775E-02  .1572E+02  .9988E+01   .9999889  .0027476  .0038276
T  217  7 .1011227E+07   1000375E-02  .8618E+01 -.1897E+02   .9999899  .0032140 -.0031291
T  218  7 .1004584E+07   1000647E-02  .9412E+01  .6195E+01   .9999956 -.0027052 -.0012172
T  219  7 .1016747E+07   1000680E-02  .1719E+02 -.5836E+01   .9999894  .0037160 -.0027232
T  220  7 .1010190E+07   1000175E-02 -.5991E+01 -.4392E+01   .9999989 -.0010128 -.0010467
T  221  7 .1015531E+07   1000427E-02  .4920E+01 -.2049E+02   .9999964  .0022805 -.0014339
T  222  7 .1012378E+07   1000632E-02  .2764E+01  .1326E+02   .9999871  .0041886  .0028565
